names,address1,address2,phone,opened,enrollment,grades,status,description,longitude,latitude
Pennsylvania Cyber Charter School,1200 Midland Ave.,"Midland, PA 15059",724-643-1180,2000,9159,K-12,Open,An online public school providing a state-approved K-12 education tuition-free to the children of Pennsylvania residents. Launching onsite program for 4- and 5-year olds.,-80.4464092,40.6321329
Pennsylvania Distance and Electronic Learning Academy Charter School,"2200 Georgetown Dr., Suite 300","Sewickley, PA 15143",724-933-7300,2004,450,K-12,Open,"Personalized, basic and enhanced learning opportunities for students whose parents have opted for a home-based education.",-80.104789,40.609701
Pennsylvania Leadership Charter School,1332 Enterprise Dr.,"West Chester, PA 19380",610-701-3333,2004,2185,K-12,Open,Knowledge-based curriculum and individualized programs through a virtual school.,-75.5556242,39.9891142
Pennsylvania Learners Online Regional Cyber Charter School,475 E. Waterfront Dr.,"Homestead, PA 15120",412-394-5796,2001,503,K-12,Open,A cyber school.,-79.908694,40.413513
Pennsylvania Virtual Charter School,"One W. Main St., Ste. 400","Norristown, PA 19401",610-275-8500,2001,5000,K-12,Open,"Online instruction, delivering lesson plans to parents electronically via email. Students and parents have regular contact via email with a teacher trained to provide Internet-based instruction.",-75.3447606,40.1147432
People for People Charter School,800 N. Broad St.,"Philadelphia, PA 19130",215-763-7060,2001,534,K-8,Open,Nobel Learning Dynamics school.,-75.1603871,39.9680175
Perseus House Charter School of Excellence,2931 Harvard Rd.,"Erie, PA 16508",814-874-6950,2003,400,12-Jul,Open,Individualized learning plans.,-80.1102069,42.0954508
Philadelphia Academy Charter High School,1700 Tomlinson Rd.,"Philadelphia, PA 19116",215-673-3990,2005,525,12-Sep,Open,"Helps students develop integrity, self- discipline, compassion and respect for themselves and others.",-75.017949,40.104265
Philadelphia Academy Charter School,11000 Roosevelt Blvd.,"Philadelphia, PA 19116",215-676-8320,1999,1190,K-12,Open,"Helps students develop integrity, self- discipline, compassion and respect for themselves and others.",-75.009485,40.102161
Philadelphia Electrical and Technology Charter High School (IBEW),1420-22 Chestnut St.,"Philadelphia, PA 19102",267-514-1823,2002,600,12-Sep,Open,"Students develop skills in the emerging high tech industries, while attaining a strong foundation in the core academic subjects of math, science, language arts and social studies.",-75.1650175,39.9509503
Philadelphia Montessori Charter School,2227 Island Ave.,"Philadelphia, PA 19142",215-365-4011,2004,216,PreK-6,Open,Offers a Montessori program.,-75.245125,39.916649
Philadelphia Performing Arts Charter School,2600 S. Broad St.,"Philadelphia, PA 19145",215-551-4000,2000,462,K-8,Open,Rigorous academics. Caring environment.,-75.171676,39.917961
Planet Abacus Charter School,6660 Keystone St.,"Philadelphia, PA 19135",610-617-9121,2007,257,K-8,Open,"Focus on science, math and technology.",-75.0447826,40.0213893
Pocono Mountain Charter School,16 Carriage Square,"Tobyhanna, PA 18466",570-894-9650,2003,337,K-11,Open,"Safe, supportive, character building, orderly educational environment in which students can achieve their potential through an individualized, high-tech and challenging curriculum.",-75.356922,41.172846
Preparatory Charter School,1928 Point Breeze Ave.,"Philadelphia, PA 19145",215-334-6144,1998,600,12-Sep,Open,Emphasis on community service. Offers college preparatory curriculum. All seniors take courses at the Community College of Pennsylvania.,-75.186449,39.927847
"Preparatory Charter School of Math, Science, Technology, and Careers",1928 Point Breeze Ave.,"Philadelphia, PA 19145",215-334-6144,1998,600,12-Sep,Open,,-75.186449,39.927847
Propel - Homestead,129 E. 10th Ave.,"Homestead, PA 15120",412-464-2604,2003,257,K-8,Open,Rigorous academics and solid discipline.,-79.910439,40.4051231
Propel - McKeesport,2412 Versailles Ave.,"McKeesport, PA 15132",412-678-7215,2005,385,K-8,Open,Rigorous academics and solid discipline.,-79.8480359,40.345434
Propel - Montour,340 Bilmar Drive,"Pittsburgh, PA 15205",412-539-0100,2007,147,K-7,Open,Rigorous academics and solid discipline. Will expand to grade 8.,-80.105962,40.454628
Propel Andrew Street High School,605 E. 10th Ave.,"Munhall, PA 15120",412-462-4625,2008,100,10-Sep,Open,Project-based learning that emphasizes groups of students working on projects together.,-79.9023078,40.4074908
Propel East Charter School,1611 Monroeville Ave.,"Turtle Creek, PA 15145",412-823-0347,2005,175,K-7,Open,Rigorous academics and solid discipline.,-79.815145,40.409323
Renaissance Academy-Edison Charter School,40 Pine Crest Ave.,"Phoenixville, PA 19460-0904",610-983-4080,2000,945,K-12,Open,"Prepares children and young adults for success as students, workers and citizens by providing a high quality liberal arts and college preparatory education.",-75.546464,40.1200377
Renaissance Charter School,7500 Germantown Ave.,"Philadelphia, PA 19119",215-753-0390,1999,212,8-Jun,Open,"Community-managed public school, focusing on helping students make dramatic gains in their achievement through a curriculum emphasizing science, technology and fine arts.",-75.1965129,40.0638924
Richard Allen Preparatory Charter School,2601 S. 58th St.,"Philadelphia, PA 19143",215-878-1544,2001,410,8-May,Open,Small teams focusing on themes such as health technology.,-75.217988,39.928322
Robert Benjamin Wiley Community Charter School,1446 E Lake Rd,"Erie, PA 16507-1936",814-461-9600,1997,,,Open,,-80.0534737,42.1416491
Roberto Clemente Charter School,136 S. 4th St.,"Allentown, PA 18102",610-439-5181,2000,214,12-Jun,Open,"Seeks to inspire and educate students, to provide each with a sense of belonging, and to instill in each a generosity of spirit, cultural identity and pride.",-75.4643443,40.6011431
Russell Byers Charter School,1911 Arch St.,"Philadelphia, PA 19103",215-972-1700,2001,412,PreK-6,Open,"Rigorous education that cultivates self-assurance, love of fresh ideas and a sense of joy.",-75.1717387,39.9555998
Sankofa Academy Charter School,446 W. Gay St.,"West Chester, PA 19380",610-696-0333,2005,27,9-May,Open,"Offers an Africa-centered educational approach with an emphasis on math, science and technology.",-75.611894,39.957256
Sankofa Freedom Academy Charter School,4256 Paul St.,"Philadelphia, PA 19143",215-288-2001,2009,300,"K-4, 9",Open,College preparatory program. African Centered programming.,-75.0877847,40.0094001
School Lane Charter School,2400 Bristol Pike,"Bensalem, PA 19020-5263",215-245-6055,1998,533,K-8,Open,"Rigorous academics, solid discipline.",-74.9475835,40.0794023
Seven Generations Charter School,154 East Minor Street,"Emmaus, PA 18049",610-421-8844,2009,225,K-4,Open,Focus on environmental and community stewardship. Will eventually expand to K-8 or K-12.,-75.4852137,40.5369936
Souderton Charter School Collaborative,110 E. Broad St.,"Souderton, PA 18964",215-721-4560,2000,150,K-8,Open,Individualized and project-based learning where members enhance their academic skills while learning to their individual and collective futures.,-75.320125,40.3098275
Southwest Leadership Academy Charter School,7101 Paschall Ave.,"Philadelphia, PA 19143",215-729-1939,2007,252,K-5,Open,Focus on leadership and character. Dual academy that separates boys and girls in the classroom.,-75.2211277,39.9339636
"Spectrum Charter School, Inc.",4369 Northern Pike,"Monroeville, PA 15146",412-374-8130,2000,32,9-12+,Open,"School to work transition instruction to students aged 14-21 with unique cognitive, communication, and sensory challenges, including students with autism spectrum disorders.",-79.7524243,40.4340925
SusQ-Cyber Charter School,240 Market St. Suite 15,"Bloomsburg, PA 17815",866-370-1226,1998,317,12-Sep,Open,Independent educational program.,-76.457757,41.001385
Sylvan Heights Science Charter School,915 S. 13th St.,"Harrisburg, PA 17104",717-232-9220,1998,220,K-4,Open,"Broad-based, interdisciplinary curriculum highlighting language acts.",-76.863653,40.253196
Tacony Academy Charter School,1330 Rhawn St.,"Philadelphia, PA 19111",215-742-5100,2009,375,K-4,Open,"Plans to expand to K-12. Significant opportunities for early identification of at risk students, remediation, and enrichment",-75.066754,40.066659
Tidioute Community Charter School,241 Main St.,"Tidioute, PA 16351",814-484-3550,2005,250,K-12,Open,"Community involvement, innovative teaching practices, individualized attention and a mentor program.",-79.402646,41.6830865
Truebright Science Academy Charter School,926 W. Allegheny Ave.,"Philadelphia, PA 19132",215-225-3438,2007,350,12-Jul,Open,Will focus on science and technology and plans to provide students with laptops.,-75.169495,40.003726
Tuscarora Blended Learning Charter School,101 S. Fifth St.,"Huntingdon, PA 16652",888-541-5830,2003,266,K-12,Open,"Expands upon traditional educational opportunities by offering students, through a blended classroom, a comprehensive education program that prepares them for their future.",-78.0125017,40.484277
Universal Institute Charter School,1415 Catherine St.,"Philadelphia, PA 19146",215-732-2876,1999,600,K-8,Open,"Emphasis on self-sufficiency, civic responsibility and problem solving through academics.",-75.16698,39.941171
Urban League of Pittsburgh Charter School,327 N. Negley Ave.,"Pittsburgh, PA 15206",412-361-1008,1998,230,K-5,Open,"Curriculum includes math, science, Spanish and knowledge of world cultures. Program stresses family support.",-79.929864,40.466733
Vida Charter School,157 Lefever St.,"Gettysburg, PA 17325",717-334-3643,2009,27,K-3,Open,Bilingual academic curriculum. Will expand to K-6,-77.226698,39.827292
Village Charter School of Chester-Upland,200 Commerce Dr.,"Chester Township, PA 19014",610-494-2100,1998,450,K-8,Open,Core curriculum. Serves at-risk youth.,-75.4061502,39.8476858
Vitalistic Therapeutic Charter School,902 4th Ave.,"Bethlehem, PA 18018",610-861-7570,2001,126,K-3,Open,Comprehensive educational program to at-risk students.,-75.3890739,40.626814
Wakisha Charter School,1209 Vine St.,"Philadelphia, PA 19107",267-256-0950,2000,400,8-Jun,Open,Afro-centric instructional curriculum focused on high academic standards.,-75.159015,39.957933
Walter D. Palmer Leadership and Learning Partners Charter School,910 N. 6th St.,"Philadelphia, PA 19123",215-739-2007,2000,882,PreK-12,Open,Core curriculum. Solid discipline.,-75.1471263,39.9673856
West Oak Lane Charter School,7115 Stenton Ave.,"Philadelphia, PA 19138",215-927-7995,1998,713,K-8,Open,Emphasis on computer skills and critical thinking.,-75.1637499,40.059499
West Philadelphia Achievement Charter Elementary School,111 N. 49th St.,"Philadelphia, PA 19139",215-476-6471,2002,400,K-5,Open,Core curriculum and an extended school year.,-75.2196811,39.9625735
Widener Partnership Charter School,2600 9th St.,"Chester, PA 19013",610-497-7398,2006,200,K-3,Open,"Will expand to 5. Music, art, drama, foreign language, technology, and writing will be fundamental components of the curriculum to support development of skills in reading, math, and emotional competence through active learning",-75.3929795,39.8375658
Wissahickon Charter School,4700 Wissahickon Ave. Building G,"Philadelphia, PA 19144",267-338-1020,2002,402,K-8,Open,"Founded on three elements: an environmental focus; recognition of service learning projects; and an emphasis on family involvement at all levels of the school organization, with parents as partners in the learning experiences of their children.",-75.172051,40.017073
Wonderland Charter School,2112 Sandy Dr.,"State College, PA 16803",814-234-5886,1999,28,K,Open,"Focuses on Early Childhood education by providing a full day kindergarten curriculum with a proven, innovative curriculum featuring an IEP for each child and full parental involvement.",-77.9037433,40.7848439
World Communications Charter School,512 S. Broad St.,"Philadelphia, PA 19146",215-735-3198,1997,500,12-Jun,Open,Offers an applied academic program related to the real world with a service learning orientation in lower grades and internships in upper grades. Affiliated with the Delaware Valley Alliance.,-75.1655454,39.9440296
Young Scholars Charter School,900 N. Marshall St.,"Philadelphia, PA 19123",215-232-9727,1999,200,8-Jun,Open,"Offers an academically accelerated program with a focus on math, language arts and computer science. A strong emphasis on mentoring experiences with community leaders.",-75.14824,39.967827
Young Scholars Charter School - Frederick Douglass Elementary School,2118 W. Norris Street,"Philadelphia, PA 19121",215-684-5063,2010,553,K-8,Open,,-75.1698351,39.9846913
Young Scholars Charter School - Guion S. Bluford Elementary School,5801 Media St,"Philadelphia, PA 19131",215-471-2906,2010,672,K-6,Open,,-75.2367725,39.9748185
Young Scholars Charter School - Samuel Daroff School,5630 Vine St,"Philadelphia, PA 19139",215-471-2905,2010,850,K-6,Open,,-75.2331298,39.9657424
Young Scholars of Central PA Charter School,1530 Westerly Parkway,"State College, PA 16803",814-237-9727,2005,154,K-8,Open,International focus. Students learn two languages.,-77.871335,40.7793269
YouthBuild Philadelphia Charter School,"1231 N. Broad St., 3rd Floor","Philadelphia, PA 19122",215-627-8671,1997,211,12,Open,"Provides a combination of academic, work-related and leadership training with an emphasis on a successful transition to employment. The program rehabs older housing.",-75.158934,39.9728313
